Runs Generation Count Mean: 51
Runs Generation Count Mode: 51 occurred (10) time(s)
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9575	0.99862	0	18.3459	3.4711	37	4	54	5	0.9575	0.99862	0	18.3459	3.4711	37	4	54	5
1	0	0.98993	0.99862	0	16.9971	3.6345	36	4	38	6	0.97372	0.99862	0	17.6714	3.5528	36	4	54	5
2	0	0.99006	0.99866	0	16.6695	3.777	29	4	29	5	0.97918	0.99866	0	17.3373	3.6275	29	4	54	5
3	0	0.99242	0.9987	0	16.2876	3.8749	24	6	25	5	0.98248	0.9987	0	17.075	3.6895	24	6	54	5
4	0	0.99214	0.99874	0	16.066	3.96	20	5	40	7	0.98442	0.99874	0	16.8732	3.7437	20	5	54	5
5	0	0.99265	0.99876	0	15.8332	4.0232	18	5	46	8	0.98577	0.99876	0	16.6996	3.7902	18	5	54	5
6	0	0.99325	0.99878	0	15.6102	4.085	22	6	48	8	0.98685	0.99878	0	16.5441	3.8322	22	6	54	5
7	0	0.99364	0.99879	0	15.3205	4.1146	22	5	41	8	0.9877	0.99879	0	16.3913	3.8676	22	5	54	5
8	0	0.9939	0.99882	0	15.1156	4.1637	20	5	36	7	0.9884	0.99882	0	16.2496	3.9004	20	5	54	5
9	0	0.99398	0.99882	0	14.7068	4.1495	20	5	38	7	0.98892	0.99882	0	16.0953	3.9255	20	5	54	5
10	0	0.99455	0.99882	0	14.6281	4.1823	23	5	37	8	0.98945	0.99882	0	15.9619	3.9487	23	5	54	5
11	0	0.99421	0.99883	0	14.4593	4.2159	22	6	39	8	0.98985	0.99883	0	15.8367	3.9709	22	6	54	5
12	0	0.99442	0.99883	0	14.2111	4.2177	22	6	30	7	0.9902	0.99883	0	15.7116	3.99	22	6	54	5
13	0	0.99495	0.99884	0	13.9368	4.2122	22	5	46	10	0.99053	0.99884	0	15.5847	4.006	22	5	54	5
14	0	0.99472	0.99884	0	13.691	4.1929	23	6	39	8	0.99083	0.99884	0	15.4586	4.0181	23	6	54	5
15	0	0.99483	0.99884	0	13.4827	4.1906	23	6	24	7	0.99108	0.99884	0	15.335	4.029	23	6	54	5
16	0	0.99492	0.99884	0	13.3521	4.1827	23	6	28	8	0.99131	0.99884	0	15.2186	4.0382	23	6	54	5
17	0	0.995	0.99884	0	13.089	4.1552	23	6	40	9	0.99149	0.99884	0	15.1002	4.0445	23	6	54	5
18	0	0.99578	0.99884	0	12.9875	4.1541	23	6	47	10	0.99173	0.99884	0	14.9891	4.0503	23	6	54	5
19	0	0.99587	0.99884	0	12.7768	4.1332	22	6	47	10	0.99193	0.99884	0	14.8785	4.0546	22	6	54	5
20	0	0.9954	0.99884	0	12.5131	4.0964	22	6	47	10	0.9921	0.99884	0	14.7658	4.0566	22	6	54	5
21	0	0.99605	0.99884	0	12.3742	4.0893	22	6	25	7	0.99228	0.99884	0	14.657	4.058	22	6	54	5
22	0	0.99609	0.99884	0	12.1783	4.0639	22	6	33	10	0.99245	0.99884	0	14.5492	4.0583	22	6	54	5
23	0	0.99626	0.99884	0	12.068	4.0522	22	6	30	8	0.9926	0.99884	0	14.4459	4.0581	22	6	54	5
24	0	0.99567	0.99884	0	11.8768	4.0239	21	6	30	8	0.99274	0.99884	0	14.343	4.0568	21	6	54	5
25	0	0.99609	0.99885	0	11.6883	4.0045	18	6	26	7	0.99286	0.99885	0	14.241	4.0546	18	6	54	5
26	0	0.9962	0.99885	0	11.5726	3.9884	18	6	30	8	0.99297	0.99885	0	14.1423	4.0521	18	6	54	5
27	0	0.9963	0.99885	0	11.3122	3.9418	19	6	32	7	0.99312	0.99885	0	14.0412	4.0481	19	6	54	5
28	0	0.99643	0.99885	0	11.0671	3.9068	19	6	22	7	0.99322	0.99885	0	13.9385	4.0434	19	6	54	5
29	0	0.99631	0.99885	0	11.007	3.902	20	7	36	9	0.99332	0.99885	0	13.8408	4.0386	20	7	54	5
30	0	0.99637	0.99885	0	10.8902	3.8835	20	7	34	9	0.99342	0.99885	0	13.7456	4.0337	20	7	54	5
31	0	0.99634	0.99885	0	10.8467	3.8913	19	6	27	8	0.99352	0.99885	0	13.6551	4.0293	19	6	54	5
32	0	0.99589	0.99885	0	10.6826	3.853	19	6	41	11	0.99357	0.99885	0	13.5649	4.0239	19	6	54	5
33	0	0.99645	0.99886	0	10.5358	3.8248	17	6	28	8	0.99366	0.99886	0	13.4759	4.018	17	6	54	5
34	0	0.99646	0.99886	0	10.4165	3.7992	21	7	42	11	0.99374	0.99886	0	13.3886	4.0117	21	7	54	5
35	0	0.99658	0.99886	0	10.2861	3.7697	21	7	23	8	0.99382	0.99886	0	13.3022	4.0049	21	7	54	5
36	0	0.99662	0.99888	0	10.0542	3.7157	19	7	23	7	0.99389	0.99888	0	13.2143	3.9972	19	7	54	5
37	0	0.99682	0.99888	0	9.956	3.6938	19	7	22	7	0.99398	0.99888	0	13.1287	3.9892	19	7	54	5
38	0	0.99629	0.99889	0	9.8289	3.6709	19	7	21	6	0.99403	0.99889	0	13.0441	3.981	19	7	54	5
39	0	0.99674	0.99889	0	9.7076	3.6416	19	7	18	5	0.99411	0.99889	0	12.9609	3.9725	19	7	54	5
40	0	0.99657	0.99889	0	9.574	3.6042	19	7	24	8	0.99417	0.99889	0	12.8782	3.9636	19	7	54	5
41	0	0.99679	0.99889	0	9.4478	3.5743	19	7	24	8	0.99422	0.99889	0	12.7965	3.9544	19	7	54	5
42	0	0.99671	0.99889	0	9.3292	3.545	19	7	19	7	0.99428	0.99889	0	12.7159	3.9447	19	7	54	5
43	0	0.99633	0.99889	0	9.2288	3.5123	19	7	20	6	0.99434	0.99889	0	12.6365	3.9349	19	7	54	5
44	0	0.9968	0.99889	0	9.0397	3.4644	19	7	23	6	0.99437	0.99889	0	12.5566	3.9245	19	7	54	5
45	0	0.99695	0.99889	0	8.9201	3.4359	19	7	19	7	0.99446	0.99889	0	12.4777	3.9138	19	7	54	5
46	0	0.99701	0.99889	0	8.8321	3.4141	19	7	29	7	0.99449	0.99889	0	12.4001	3.9033	19	7	54	5
47	0	0.99709	0.99889	0.09851	8.8334	3.4185	19	7	22	7	0.99456	0.99889	0	12.3257	3.8931	19	7	54	5
48	0	0.99705	0.9989	0	8.7481	3.3989	22	8	23	7	0.99461	0.9989	0	12.2527	3.8831	22	8	54	5
49	0	0.99701	0.9989	0	8.6725	3.3714	22	8	35	9	0.99465	0.9989	0	12.1812	3.8729	22	8	54	5
50	0	0.99703	0.9989	0	8.5735	3.3338	22	8	25	7	0.99469	0.9989	0	12.1104	3.8622	22	8	54	5
51	0	0.99685	0.9989	0	8.4716	3.3038	22	8	18	6	0.99475	0.9989	0	12.0403	3.8516	22	8	54	5
