Timer Name	Value
CPU Time (ns):	47387552078
Wall Time (ms):	2524
CPU Cycles:	69284282899739595
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	4	304115712
2	120	319844352
3	201	326922240
4	283	331902976
5	377	337932288
6	444	342388736
7	513	347885568
8	582	351801344
9	642	357044224
10	701	362024960
11	764	367525888
12	828	372244480
13	889	376438784
14	942	381943808
15	1002	386400256
16	1063	391118848
17	1116	395829248
18	1169	399761408
19	1211	405004288
20	1253	410247168
21	1299	415227904
22	1345	418615296
23	1390	423333888
24	1430	427773952
25	1475	433487872
26	1518	437682176
27	1558	441876480
28	1595	446595072
29	1630	450752512
30	1667	454676480
31	1707	458346496
32	1741	462004224
33	1777	463839232
34	1810	468545536
35	1843	472702976
36	1873	474738688
37	1911	480243712
38	1946	484700160
39	1982	490729472
40	2017	494137344
41	2049	498069504
42	2079	501739520
43	2108	504872960
44	2140	508248064
45	2170	511635456
46	2199	516575232
47	2229	521031680
48	2256	523915264
49	2284	527302656
50	2307	531750912
51	2330	536170496
Aggregation Count:	10
Timer Name	Value
CPU Time (ns):	4738755207
Wall Time (ms):	2136
CPU Cycles:	6928428289973959
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	4	30411571
2	120	31984435
3	201	32692224
4	283	33190297
5	377	33793228
6	444	34238873
7	513	34788556
8	582	35180134
9	642	35704422
10	701	36202496
11	764	36752588
12	828	37224448
13	889	37643878
14	942	38194380
15	1002	38640025
16	1063	39111884
17	1116	39582924
18	1169	39976140
19	1211	40500428
20	1253	41024716
21	1299	41522790
22	1345	41861529
23	1390	42333388
24	1430	42777395
25	1475	43348787
26	1518	43768217
27	1558	44187648
28	1595	44659507
29	1630	45075251
30	1667	45467648
31	1707	45834649
32	1741	46200422
33	1777	46383923
34	1810	46854553
35	1843	47270297
36	1873	47473868
37	1911	48024371
38	1946	48470016
39	1982	49072947
40	2017	49413734
41	2049	49806950
42	2079	50173952
43	2108	50487296
44	2140	50824806
45	2170	51163545
46	2199	51657523
47	2229	52103168
48	2256	52391526
49	2284	52730265
50	2307	53175091
51	2330	53617049
Hits	Total
2233	2810
Percent Hit:	79.4662%
Fitness
0.998744
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
913	219	1320	357
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.96056	0.9983	0	17.543	3.3493	20	3	54	5	0.96056	0.9983	0	17.543	3.3493	20	3	54	5
1	0	0.99095	0.99846	0	15.6083	3.4176	25	4	40	6	0.97576	0.99846	0	16.5756	3.3834	25	4	54	5
2	0	0.99114	0.99849	0	14.976	3.5075	22	4	37	6	0.9809	0.99849	0	16.0423	3.4248	22	4	54	5
3	0	0.99263	0.99854	0.09886	14.1725	3.4981	27	4	42	7	0.98382	0.99854	0	15.5749	3.4431	27	4	54	5
4	0	0.99271	0.99856	0.09968	13.5146	3.5012	25	4	50	7	0.98559	0.99856	0	15.1627	3.4548	25	4	54	5
5	0	0.99475	0.99857	0.09964	12.7713	3.4329	26	4	31	6	0.98713	0.99857	0	14.7644	3.451	26	4	54	5
6	0	0.99475	0.9986	0	12.0061	3.3584	30	5	29	6	0.98821	0.9986	0	14.3701	3.4378	30	5	54	5
7	0	0.99488	0.99862	0.19923	11.5468	3.3299	23	4	43	7	0.98905	0.99862	0	14.0173	3.4244	23	4	54	5
8	0	0.995	0.99863	0.09979	10.8457	3.2222	25	5	27	7	0.98972	0.99863	0	13.6649	3.4019	25	5	54	5
9	0	0.99612	0.99865	0.29909	10.5642	3.1751	27	5	37	6	0.99035	0.99865	0	13.3548	3.3792	27	5	54	5
10	0	0.99551	0.99868	0.0998	10.078	3.1173	27	5	26	6	0.99082	0.99868	0	13.0571	3.3554	27	5	54	5
11	0	0.99639	0.99869	0.39845	9.7339	3.076	27	5	33	7	0.99129	0.99869	0	12.7801	3.3322	27	5	54	5
12	0	0.99626	0.99869	0.19932	9.2408	2.9873	24	5	28	7	0.99166	0.99869	0	12.508	3.3056	24	5	54	5
13	0	0.99648	0.99869	0.29925	8.8523	2.9114	24	5	34	6	0.99202	0.99869	0	12.2467	3.2774	24	5	54	5
14	0	0.99664	0.99869	0.3988	8.6408	2.8802	24	5	24	7	0.9923	0.99869	0	12.0065	3.251	24	5	54	5
15	0	0.99638	0.99869	0.19941	8.3446	2.8164	24	5	29	6	0.99257	0.99869	0	11.7774	3.2237	24	5	54	5
16	0	0.99638	0.9987	0.2993	7.7816	2.6763	21	4	18	6	0.9928	0.9987	0	11.5423	3.1917	21	4	54	5
17	0	0.99637	0.9987	0.59832	7.5378	2.6308	21	4	21	5	0.993	0.9987	0	11.3199	3.1606	21	4	54	5
18	0	0.99639	0.9987	0.19939	7.3851	2.594	21	4	24	6	0.99316	0.9987	0	11.1128	3.1307	21	4	54	5
19	0	0.997	0.99871	0.39885	7.1418	2.5418	20	4	16	4	0.99336	0.99871	0	10.9142	3.1012	20	4	54	5
20	0	0.99763	0.99871	0.69805	6.9469	2.4949	20	4	16	4	0.99355	0.99871	0	10.7253	3.0724	20	4	54	5
21	0	0.99701	0.99872	0.69792	6.7447	2.4608	17	4	18	5	0.99371	0.99872	0	10.5444	3.0443	17	4	54	5
22	0	0.99687	0.99872	0.29924	6.6247	2.419	17	4	13	4	0.99386	0.99872	0	10.3739	3.0173	17	4	54	5
23	0	0.99739	0.99872	0.59828	6.3728	2.3423	17	4	19	5	0.994	0.99872	0	10.2073	2.9892	17	4	54	5
24	0	0.99701	0.99872	0.39908	6.2168	2.3021	17	4	11	4	0.99412	0.99872	0	10.0476	2.9617	17	4	54	5
25	0	0.99701	0.99872	0.69813	5.9945	2.2275	17	4	14	4	0.99424	0.99872	0	9.8917	2.9335	17	4	54	5
26	0	0.9975	0.99872	0.69758	5.9075	2.2185	14	3	22	6	0.99438	0.99872	0	9.7442	2.9071	14	3	54	5
27	0	0.99725	0.99872	0.49881	5.7684	2.1696	14	3	11	4	0.99445	0.99872	0	9.6021	2.8807	14	3	54	5
28	0	0.99714	0.99872	0.59861	5.678	2.1279	14	3	7	3	0.99454	0.99872	0	9.4667	2.8548	14	3	54	5
29	0	0.99714	0.99872	0.59814	5.499	2.0684	13	3	12	4	0.99463	0.99872	0	9.3346	2.8285	13	3	54	5
30	0	0.99725	0.99872	0.49875	5.3926	2.0567	13	3	14	4	0.99474	0.99872	0	9.2076	2.8037	13	3	54	5
31	0	0.99726	0.99872	0.49882	5.3139	2.027	13	3	14	4	0.99479	0.99872	0	9.0858	2.7794	13	3	54	5
32	0	0.99714	0.99872	0.59847	5.2089	1.9949	14	3	11	4	0.99487	0.99872	0	8.9683	2.7555	14	3	54	5
33	0	0.99763	0.99872	0.79806	5.208	2.0037	14	3	10	3	0.99495	0.99872	0	8.8577	2.7334	14	3	54	5
34	0	0.99788	0.99872	0.89743	5.0364	1.9343	14	3	12	4	0.99504	0.99872	0	8.7485	2.7106	14	3	54	5
35	0	0.99748	0.99872	0.59806	5.014	1.9294	14	3	11	3	0.9951	0.99872	0	8.6447	2.6889	14	3	54	5
36	0	0.99724	0.99872	0.49865	4.9646	1.9272	14	3	11	4	0.99518	0.99872	0	8.5453	2.6684	14	3	54	5
37	0	0.99775	0.99872	0.79785	4.8983	1.8915	14	3	8	3	0.99522	0.99872	0	8.4493	2.6478	14	3	54	5
38	0	0.99762	0.99872	0.79809	4.9076	1.8888	14	3	9	3	0.9953	0.99872	0	8.3586	2.6283	14	3	54	5
39	0	0.9975	0.99872	0.69813	4.8939	1.874	14	3	12	4	0.99535	0.99872	0	8.272	2.6095	14	3	54	5
40	0	0.99723	0.99872	0.49868	4.8621	1.8558	13	3	12	3	0.9954	0.99872	0	8.1887	2.5911	13	3	54	5
41	0	0.99751	0.99872	0.69827	4.8748	1.8576	13	3	9	3	0.99546	0.99872	0	8.1099	2.5737	13	3	54	5
42	0	0.99725	0.99872	0.59825	4.7903	1.8323	13	3	10	3	0.99548	0.99872	0	8.0327	2.5564	13	3	54	5
43	0	0.99738	0.99872	0.69831	4.7686	1.825	14	3	8	3	0.99554	0.99872	0	7.9585	2.5399	14	3	54	5
44	0	0.9974	0.99873	0.59853	4.8102	1.8542	13	3	9	3	0.99557	0.99873	0	7.8884	2.5246	13	3	54	5
45	0	0.99725	0.99873	0.49874	4.7732	1.8479	13	3	16	5	0.9956	0.99873	0	7.8208	2.5097	13	3	54	5
46	0	0.99775	0.99873	0.79767	4.7604	1.8429	13	3	11	3	0.99565	0.99873	0	7.7558	2.4956	13	3	54	5
47	0	0.99725	0.99873	0.49866	4.766	1.8341	13	3	11	4	0.99569	0.99873	0	7.6933	2.4819	13	3	54	5
48	0	0.99776	0.99873	0.79792	4.7051	1.8044	13	3	12	4	0.99572	0.99873	0	7.6324	2.4682	13	3	54	5
49	0	0.99738	0.99873	0.59864	4.6572	1.7919	13	3	10	3	0.99576	0.99873	0	7.5729	2.4545	13	3	54	5
50	0	0.99787	0.99873	0.89739	4.6493	1.7877	13	3	11	4	0.99579	0.99873	0	7.5154	2.4414	13	3	54	5
