Runs Generation Count Mean: 41
Runs Generation Count Mode: 50 occurred (6) time(s)
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0	0.00011	0	13.1397	3.6747	18	4	19	4	0	0.00011	0	13.1397	3.6747	18	4	19	4
1	0	0	0.00011	0	13.3235	4.1582	17	4	14	5	0	0.00011	0	13.2316	3.9166	17	3	19	4
2	0	0	0.00011	0	14.0341	4.512	22	5	16	6	0	0.00012	0	13.4993	4.1149	14	4	19	4
3	0	0	0.00011	0	14.6611	4.7875	14	4	17	6	0	0.00013	0	13.7895	4.2832	13	4	20	4
4	0	0	0.00012	0	15.3302	5.0336	24	6	11	5	0	0.00014	0	14.0976	4.4333	14	4	20	4
5	0	0	0.00014	0	15.9781	5.2513	23	6	15	5	0	0.00015	0	14.411	4.5696	16	4	20	4
6	0	0	0.00016	0	16.6516	5.446	27	7	13	6	0	0.00017	0	14.7313	4.6948	19	5	20	4
7	0	0	0.00028	0	17.2535	5.6209	22	6	19	7	0	0.00028	0	15.0466	4.8105	18	5	20	4
8	0	0	0.0003	0	18.1642	5.8235	35	8	34	9	0	0.00031	0	15.3929	4.9232	23	6	20	4
9	0	1e-05	0.00037	0	19.2011	6.0579	23	6	23	6	0	0.00037	0	15.7738	5.0366	20	5	20	4
10	0	1e-05	0.00047	0	20.7814	6.3628	29	6	24	6	0	0.00048	0	16.2291	5.1571	28	6	20	4
11	0	4e-05	0.00068	0	22.8629	6.7192	34	7	32	8	0	0.00068	0	16.7817	5.2873	34	7	20	4
12	0	7e-05	0.00094	0	26.0863	7.1928	26	6	23	8	2e-05	0.00094	0	17.4976	5.4338	26	6	20	4
13	0	0.00011	0.00111	0	29.8244	7.7638	27	8	31	8	3e-05	0.00113	0	18.3781	5.6002	27	8	20	4
14	0	0.00016	0.00173	0	33.322	8.3508	37	8	28	8	4e-05	0.00176	0	19.3743	5.7838	28	7	20	4
15	0	0.00021	0.00184	0	36.8131	8.9614	48	10	50	11	4e-05	0.00212	0	20.4642	5.9823	35	8	20	4
16	0	0.00025	0.00495	0	40.1866	9.5048	39	8	37	9	6e-05	0.00496	0	21.6244	6.1896	38	8	20	4
17	0	0.00031	0.0047	0	43.7914	10.0104	39	8	49	10	8e-05	0.00527	0	22.856	6.4018	35	7	20	4
18	0	0.00042	0.0057	0	47.2266	10.4502	37	8	60	11	9e-05	0.00642	0	24.1387	6.6148	34	7	20	4
19	0	0.00063	0.07818	0	49.8474	10.7263	41	9	43	10	0.00012	0.07829	0	25.424	6.8204	34	8	20	4
20	0	0.00149	0.16008	0	51.8127	10.8607	45	9	53	12	0.00021	0.1603	0	26.6806	7.0127	35	7	20	4
21	0	0.00264	0.1059	0	48.0605	9.7961	43	8	65	12	0.00027	0.10628	0	24.6393	6.392	30	6	18	4
22	0	0.00075	0.00581	0	46.501	9.0482	40	8	49	9	0.00016	0.00635	0	23.1659	5.7956	32	7	18	3
23	0	0.001	0.00705	0	48.1138	9.1699	37	7	37	8	0.00019	0.00741	0	24.2053	5.9362	30	6	18	3
24	0	0.00136	0.0088	0	49.2636	9.2652	41	8	65	10	0.00023	0.00911	0	25.2077	6.0693	28	6	18	3
25	0	0.00161	0.00964	0	50.634	9.41	41	8	49	10	0.0003	0.01063	0	26.1856	6.1978	27	5	18	3
26	0	0.00183	0.02255	0	52.1851	9.5276	39	8	48	8	0.00036	0.02326	0	27.1486	6.321	26	6	18	3
27	0	0.00215	0.04444	0	53.7801	9.613	40	8	62	11	0.00042	0.04519	0	28.0996	6.4386	27	6	18	3
28	0	0.00223	0.00962	0	51.5745	8.8811	36	7	61	9	0.00047	0.01011	0	25.3811	5.7176	27	6	17	3
29	0	0.00242	0.0098	0	53.448	9.0149	36	7	55	9	0.00054	0.01025	0	26.3167	5.8275	28	6	17	3
30	0	0.00252	0.01152	0	55.1936	9.1317	32	6	51	8	0.00061	0.0117	0	27.2481	5.9341	27	6	17	3
31	0	0.00271	0.01489	0	56.6096	9.2275	36	7	51	9	0.00066	0.01505	0	28.1656	6.0369	31	6	17	3
32	0	0.00284	0.01381	0	57.4633	9.2697	34	7	68	9	0.00073	0.0153	0	29.0534	6.135	31	6	17	3
33	0	0.00295	0.01194	0	57.6212	9.2493	40	8	53	9	0.0008	0.01576	0	29.8939	6.2266	36	8	17	3
34	0	0.00317	0.01243	0	57.1262	9.1701	48	8	66	9	0.00086	0.01661	0	30.6719	6.3106	28	6	17	3
35	0	0.00339	0.01638	0	57.6547	9.2213	61	10	63	9	0.00093	0.01831	0	31.4214	6.3916	32	7	17	3
36	0	0.00363	0.01747	0	58.6958	9.3118	58	9	66	9	0.00101	0.01839	0	32.1585	6.4704	31	7	17	3
37	0	0.00375	0.03735	0	59.8621	9.4072	43	9	65	9	0.00107	0.03777	0	32.8875	6.5476	31	7	17	3
38	0	0.00405	0.02054	0	61.1164	9.53	55	10	52	8	0.00115	0.03978	0	33.6114	6.6242	33	7	17	3
39	0	0.00446	0.04956	0	61.816	9.6407	49	8	67	8	0.00123	0.04994	0	34.3165	6.6996	31	7	17	3
40	0	0.00502	0.07533	0	62.2502	9.7446	46	8	64	9	0.00133	0.07581	0	34.9978	6.7739	33	7	17	3
41	0	0.00563	0.07541	0	62.4674	9.8256	52	9	65	9	0.00142	0.076	0	35.6518	6.8465	33	7	17	3
42	0	0.00663	0.076	0	62.7849	9.8651	56	9	60	8	0.00154	0.07632	0	36.2828	6.9167	34	8	17	3
43	0	0.00825	0.077	0	62.665	9.8863	50	9	59	9	0.00171	0.07755	0	36.8823	6.9841	34	8	17	3
44	0	0.01025	0.08067	0	62.5507	9.8819	45	9	67	10	0.00188	0.08119	0	37.4528	7.0487	33	8	17	3
45	0	0.01141	0.08903	0	62.5751	9.889	63	10	61	9	0.00209	0.08961	0	37.9989	7.1103	35	8	17	3
46	0	0.00669	0.05313	0	58.0584	8.5661	36	7	53	8	0.00182	0.05352	0	33.9906	6.216	30	6	11	2
47	0	0.00691	0.05336	0	58.5962	8.5868	39	7	56	9	0.00193	0.0537	0	34.5032	6.2654	32	7	11	2
48	0	0.00728	0.05731	0	59.0136	8.5892	45	8	44	8	0.00204	0.05803	0	35.0034	6.3128	34	7	11	2
49	0	0.00821	0.06377	0	59.9068	8.6281	50	8	49	7	0.00217	0.0642	0	35.5015	6.359	35	7	11	2
50	0	0.00957	0.0647	0	61.0564	8.6845	36	7	73	8	0.00231	0.06513	0	36.0027	6.4047	35	8	11	2
