Runs Generation Count Mean: 33
Runs Generation Count Mode: 50 occurred (4) time(s)
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0	0.0001	0	13.1071	3.6725	20	4	20	5	0	0.0001	0	13.1071	3.6725	20	4	20	5
1	0	0	0.0001	0	13.1825	4.1323	18	4	20	5	0	0.0001	0	13.1448	3.9026	18	4	20	5
2	0	0	0.00013	0	13.8616	4.4778	19	4	20	6	0	0.00013	0	13.3838	4.0942	19	4	15	5
3	0	0	0.00016	0	14.532	4.7752	21	4	19	6	0	0.00016	0	13.6707	4.2645	21	4	15	5
4	0	0	0.00016	0	15.1915	5.0203	21	4	19	6	0	0.00016	0	13.975	4.4155	21	4	15	5
5	0	0	0.0002	0	15.8877	5.2489	28	6	14	5	0	0.0002	0	14.2937	4.5545	28	6	17	5
6	0	0	0.00068	0	16.6425	5.4634	20	5	27	7	0	0.00068	0	14.6293	4.6843	20	5	17	5
7	0	2e-05	0.00202	0	17.6311	5.6943	24	6	14	6	0	0.00202	0	15.0044	4.8107	24	6	17	5
8	0	4e-05	0.0021	0	19.0261	5.9631	28	6	23	6	1e-05	0.0021	0	15.4512	4.9387	28	6	17	5
9	0	0.00011	0.00256	0	20.838	6.2925	29	6	17	6	1e-05	0.00256	0	15.99	5.074	29	6	17	5
10	0	0.00019	0.01102	0	23.3861	6.7358	29	7	25	8	2e-05	0.01102	0	16.6622	5.2251	29	7	17	5
11	0	0.00032	0.02571	0	26.7843	7.3298	28	6	30	9	6e-05	0.02571	0	17.5057	5.4003	28	6	17	5
12	0	0.00084	0.0298	0	30.6424	7.986	33	8	45	11	0.00015	0.0298	0	18.5164	5.5994	33	8	17	5
13	0	0.00241	0.0409	0	33.7966	8.5226	36	8	39	9	0.00031	0.0409	0	19.6078	5.8083	36	8	17	5
14	0	0.00473	0.15448	0	36.2347	8.9129	34	8	48	10	0.0006	0.15448	0	20.7163	6.0151	34	8	17	5
15	0	0.00687	0.07172	0	33.7284	8.348	34	7	38	9	0.00097	0.07172	0	19.4558	5.5962	34	7	14	4
16	0	0.00026	0.0067	0	31.0884	7.5484	26	6	32	8	7e-05	0.0067	0	17.8513	5.068	26	6	14	4
17	0	0.00041	0.03178	0	32.9783	7.8806	28	6	32	8	0.0001	0.03178	0	18.6918	5.2243	28	6	14	4
18	0	0.0021	0.09357	0	34.7295	8.2024	33	7	39	8	0.0002	0.09357	0	19.5358	5.381	33	7	14	4
19	0	0.00037	0.00346	0	32.8002	7.5586	28	6	43	8	9e-05	0.00346	0	17.7451	4.8349	28	6	12	3
20	0	0.00048	0.00393	0	34.4925	7.7532	28	6	41	8	0.00011	0.00393	0	18.5427	4.9737	28	6	12	3
21	0	0.00059	0.00567	0	36.3035	7.9463	29	6	34	7	0.00014	0.00567	0	19.35	5.109	29	6	12	3
22	0	0.00075	0.02742	0	37.9308	8.1041	43	8	38	7	0.00016	0.02742	0	20.1577	5.2391	43	8	12	3
23	0	0.001	0.09135	0	39.1953	8.226	43	8	34	7	0.0002	0.09135	0	20.9509	5.3637	43	8	12	3
24	0	0.00065	0.00371	0	34.9716	7.1174	40	7	40	7	0.00016	0.00371	0	18.318	4.618	40	7	10	3
25	0	0.00073	0.00397	0	36.2799	7.2425	39	7	33	7	0.00019	0.00397	0	19.0089	4.7191	39	7	10	3
26	0	0.00082	0.00665	0	37.4749	7.3423	31	5	46	7	0.00022	0.00665	0	19.6929	4.8162	31	5	10	3
27	0	0.00091	0.00697	0	38.5907	7.4439	35	6	33	6	0.00024	0.00697	0	20.3678	4.9101	35	6	10	3
28	0	0.00103	0.10366	0	39.59	7.5366	35	5	46	8	0.00026	0.10366	0	21.0306	5.0006	35	5	10	3
29	0	0.0007	0.00372	0	33.6571	6.2907	30	5	35	6	0.00021	0.00372	0	18.1225	4.2044	30	5	9	2
30	0	0.00073	0.00372	0	34.502	6.359	30	5	40	6	0.00022	0.00372	0	18.651	4.274	30	5	9	2
31	0	0.00079	0.0038	0	35.8169	6.4289	32	5	26	6	0.00025	0.0038	0	19.1873	4.3413	32	5	9	2
32	0	0.00095	0.00537	0	37.9798	6.4874	29	5	40	7	0.00026	0.00537	0	19.7568	4.4063	29	5	9	2
33	0	0.00121	0.06364	0	40.78	6.5281	45	6	43	6	0.00029	0.06364	0	20.3751	4.4687	45	6	9	2
34	0	0.00063	0.00333	0	31.8776	5.3021	27	4	29	5	0.00023	0.00333	0	16.342	3.5387	27	4	8	1
35	0	0.00066	0.00399	0	32.9896	5.373	35	5	28	4	0.00023	0.00399	0	16.8044	3.5896	35	5	8	1
36	0	0.00072	0.00675	0	34.1872	5.4552	31	5	34	6	0.00025	0.00675	0	17.2743	3.64	31	5	8	1
37	0	0.00077	0.00758	0	35.084	5.5098	35	4	21	4	0.00026	0.00758	0	17.7429	3.6892	35	4	8	1
38	0	0.00084	0.00803	0	35.7328	5.5478	35	4	38	5	0.00029	0.00803	0	18.2042	3.7369	35	4	8	1
39	0	0.00098	0.00819	0	36.5969	5.5795	34	4	35	5	0.00029	0.00819	0	18.664	3.783	34	4	8	1
40	0	0.00113	0.00832	0	37.4679	5.6359	35	4	21	3	0.00032	0.00832	0	19.1227	3.8282	35	4	8	1
41	0	0.00132	0.01066	0	38.9106	5.725	44	5	41	5	0.00034	0.01066	0	19.5938	3.8733	44	5	8	1
42	0	0.0015	0.01077	0	39.8449	5.7833	45	5	28	5	0.00037	0.01077	0	20.0646	3.9178	45	5	8	1
43	0	0.00174	0.01099	0	40.3849	5.8175	44	5	32	5	0.00039	0.01099	0	20.5265	3.961	44	5	8	1
44	0	0.00238	0.01698	0	41.2465	5.8517	46	5	41	6	0.00045	0.01698	0	20.987	4.0029	46	5	8	1
45	0	0.00361	0.0176	0	42.7593	5.8827	51	6	40	5	0.00052	0.0176	0	21.4603	4.0438	51	6	8	1
